"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Other injuries of lung"	"S27.3"	24	657905	3.6
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Injury of liver or gallbladder"	"S36.1"	10	657905	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Multiple open wounds, unspecified"	"T01.9"	70	657905	10.6
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Unspecified multiple injuries"	"T07"	50	657905	7.6
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Open wound of trunk, level unspecified"	"T09.1"	27	657905	4.1
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Unspecified injury of trunk, level unspecified"	"T09.9"	48	657905	7.3
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Open wound of unspecified body region"	"T14.1"	182	657905	27.7
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Injury, unspecified"	"T14.9"	88	657905	13.4
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Heroin"	"T40.1"	13	657905	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Other opioids"	"T40.2"	37	657905	5.6
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Other synthetic narcotics"	"T40.4"	282	657905	42.9
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Cocaine"	"T40.5"	44	657905	6.7
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Other and unspecified narcotics"	"T40.6"	11	657905	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Cannabis (derivatives)"	"T40.7"	14	657905	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Benzodiazepines"	"T42.4"	27	657905	4.1
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Psychostimulants with abuse potential"	"T43.6"	146	657905	22.2
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	156	657905	23.7
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Ethanol"	"T51.0"	25	657905	3.8
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Asphyxiation"	"T71"	43	657905	6.5
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Drowning and nonfatal submersion"	"T75.1"	11	657905	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Open wound of head, part unspecified"	"S01.9"	91	621848	14.6
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Intracranial injury, unspecified"	"S06.9"	17	621848	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Unspecified injury of head"	"S09.9"	30	621848	4.8
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Open wound of neck, part unspecified"	"S11.9"	10	621848	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Unspecified injury of neck"	"S19.9"	10	621848	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Open wound of thorax, part unspecified"	"S21.9"	31	621848	5.0
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Injury of heart, unspecified"	"S26.9"	10	621848	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Other injuries of lung"	"S27.3"	18	621848	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Unspecified injury of thorax"	"S29.9"	17	621848	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Multiple open wounds, unspecified"	"T01.9"	52	621848	8.4
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Unspecified multiple injuries"	"T07"	40	621848	6.4
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Open wound of trunk, level unspecified"	"T09.1"	20	621848	3.2
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Unspecified injury of trunk, level unspecified"	"T09.9"	44	621848	7.1
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Open wound of unspecified body region"	"T14.1"	123	621848	19.8
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Injury, unspecified"	"T14.9"	93	621848	15.0
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Heroin"	"T40.1"	16	621848	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Other opioids"	"T40.2"	40	621848	6.4
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Methadone"	"T40.3"	15	621848	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Other synthetic narcotics"	"T40.4"	301	621848	48.4
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Cocaine"	"T40.5"	72	621848	11.6
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Other and unspecified narcotics"	"T40.6"	11	621848	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Cannabis (derivatives)"	"T40.7"	16	621848	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Benzodiazepines"	"T42.4"	46	621848	7.4
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Antiepileptic and sedative-hypnotic drugs, unspecified"	"T42.7"	13	621848	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Psychostimulants with abuse potential"	"T43.6"	219	621848	35.2
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	193	621848	31.0
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Ethanol"	"T51.0"	43	621848	6.9
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Alcohol, unspecified"	"T51.9"	11	621848	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Other specified gases, fumes and vapours"	"T59.8"	10	621848	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Asphyxiation"	"T71"	45	621848	7.2
	"Alabama"	"01"	"2022 "	"2022"	"35-44 years"	"35-44"	"Drowning and nonfatal submersion"	"T75.1"	12	621848	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Open wound of head, part unspecified"	"S01.9"	106	617797	17.2
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Intracranial injury, unspecified"	"S06.9"	13	617797	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Unspecified injury of head"	"S09.9"	31	617797	5.0
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Open wound of thorax, part unspecified"	"S21.9"	25	617797	4.0
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Multiple open wounds, unspecified"	"T01.9"	25	617797	4.0
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Unspecified multiple injuries"	"T07"	27	617797	4.4
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Open wound of trunk, level unspecified"	"T09.1"	15	617797	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Unspecified injury of trunk, level unspecified"	"T09.9"	30	617797	4.9
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Open wound of unspecified body region"	"T14.1"	112	617797	18.1
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Injury, unspecified"	"T14.9"	83	617797	13.4
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Foreign body in respiratory tract, part unspecified"	"T17.9"	15	617797	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Burn of unspecified body region, unspecified degree"	"T30.0"	10	617797	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Other opioids"	"T40.2"	33	617797	5.3
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Other synthetic narcotics"	"T40.4"	199	617797	32.2
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Cocaine"	"T40.5"	69	617797	11.2
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Benzodiazepines"	"T42.4"	15	617797	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Antiepileptic and sedative-hypnotic drugs, unspecified"	"T42.7"	10	617797	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Psychostimulants with abuse potential"	"T43.6"	159	617797	25.7
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	156	617797	25.3
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Ethanol"	"T51.0"	34	617797	5.5
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Alcohol, unspecified"	"T51.9"	14	617797	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Other specified gases, fumes and vapours"	"T59.8"	14	617797	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Asphyxiation"	"T71"	34	617797	5.5
	"Alabama"	"01"	"2022 "	"2022"	"45-54 years"	"45-54"	"Drowning and nonfatal submersion"	"T75.1"	18	617797	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Open wound of head, part unspecified"	"S01.9"	87	658430	13.2
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Traumatic subdural haemorrhage"	"S06.5"	15	658430	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Other intracranial injuries"	"S06.8"	12	658430	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Intracranial injury, unspecified"	"S06.9"	17	658430	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Unspecified injury of head"	"S09.9"	34	658430	5.2
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Open wound of thorax, part unspecified"	"S21.9"	20	658430	3.0
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Unspecified injury of thorax"	"S29.9"	12	658430	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Multiple open wounds, unspecified"	"T01.9"	13	658430	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Unspecified multiple injuries"	"T07"	30	658430	4.6
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Unspecified injury of trunk, level unspecified"	"T09.9"	42	658430	6.4
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Open wound of unspecified body region"	"T14.1"	64	658430	9.7
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Injury, unspecified"	"T14.9"	95	658430	14.4
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Foreign body in respiratory tract, part unspecified"	"T17.9"	32	658430	4.9
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Burn of unspecified body region, unspecified degree"	"T30.0"	13	658430	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Other opioids"	"T40.2"	30	658430	4.6
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Other synthetic narcotics"	"T40.4"	134	658430	20.4
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Cocaine"	"T40.5"	60	658430	9.1
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Benzodiazepines"	"T42.4"	15	658430	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Psychostimulants with abuse potential"	"T43.6"	67	658430	10.2
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	93	658430	14.1
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Ethanol"	"T51.0"	29	658430	4.4
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Alcohol, unspecified"	"T51.9"	12	658430	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Other specified gases, fumes and vapours"	"T59.8"	24	658430	3.6
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Hypothermia"	"T68"	10	658430	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Asphyxiation"	"T71"	21	658430	3.2
	"Alabama"	"01"	"2022 "	"2022"	"55-64 years"	"55-64"	"Drowning and nonfatal submersion"	"T75.1"	11	658430	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Open wound of head, part unspecified"	"S01.9"	63	540882	11.6
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Traumatic subdural haemorrhage"	"S06.5"	23	540882	4.3
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Other intracranial injuries"	"S06.8"	15	540882	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Intracranial injury, unspecified"	"S06.9"	12	540882	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Unspecified injury of head"	"S09.9"	37	540882	6.8
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Unspecified injury of neck"	"S19.9"	11	540882	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Open wound of thorax, part unspecified"	"S21.9"	10	540882	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Fracture of neck of femur"	"S72.0"	28	540882	5.2
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Unspecified multiple injuries"	"T07"	23	540882	4.3
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Unspecified injury of trunk, level unspecified"	"T09.9"	17	540882	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Open wound of unspecified body region"	"T14.1"	44	540882	8.1
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Injury, unspecified"	"T14.9"	89	540882	16.5
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Foreign body in respiratory tract, part unspecified"	"T17.9"	33	540882	6.1
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Burn of unspecified body region, unspecified degree"	"T30.0"	12	540882	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Other synthetic narcotics"	"T40.4"	25	540882	4.6
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Cocaine"	"T40.5"	21	540882	3.9
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Psychostimulants with abuse potential"	"T43.6"	12	540882	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	24	540882	4.4
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Other specified gases, fumes and vapours"	"T59.8"	19	540882	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Asphyxiation"	"T71"	11	540882	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Drowning and nonfatal submersion"	"T75.1"	19	540882	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"65-74 years"	"65-74"	"Other complications of cardiac and vascular prosthetic devices, implants and grafts"	"T82.8"	11	540882	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"75-84 years"	"75-84"	"Open wound of head, part unspecified"	"S01.9"	57	280480	20.3
	"Alabama"	"01"	"2022 "	"2022"	"75-84 years"	"75-84"	"Traumatic subdural haemorrhage"	"S06.5"	36	280480	12.8
	"Alabama"	"01"	"2022 "	"2022"	"75-84 years"	"75-84"	"Traumatic subarachnoid haemorrhage"	"S06.6"	11	280480	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"75-84 years"	"75-84"	"Other intracranial injuries"	"S06.8"	17	280480	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"75-84 years"	"75-84"	"Intracranial injury, unspecified"	"S06.9"	26	280480	9.3
	"Alabama"	"01"	"2022 "	"2022"	"75-84 years"	"75-84"	"Unspecified injury of head"	"S09.9"	30	280480	10.7
	"Alabama"	"01"	"2022 "	"2022"	"75-84 years"	"75-84"	"Fracture of neck of femur"	"S72.0"	37	280480	13.2
	"Alabama"	"01"	"2022 "	"2022"	"75-84 years"	"75-84"	"Fracture of femur, part unspecified"	"S72.9"	14	280480	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"75-84 years"	"75-84"	"Unspecified multiple injuries"	"T07"	10	280480	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"75-84 years"	"75-84"	"Unspecified injury of trunk, level unspecified"	"T09.9"	19	280480	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"75-84 years"	"75-84"	"Open wound of unspecified body region"	"T14.1"	34	280480	12.1
	"Alabama"	"01"	"2022 "	"2022"	"75-84 years"	"75-84"	"Injury, unspecified"	"T14.9"	67	280480	23.9
	"Alabama"	"01"	"2022 "	"2022"	"75-84 years"	"75-84"	"Foreign body in respiratory tract, part unspecified"	"T17.9"	54	280480	19.3
	"Alabama"	"01"	"2022 "	"2022"	"75-84 years"	"75-84"	"Other specified gases, fumes and vapours"	"T59.8"	10	280480	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"75-84 years"	"75-84"	"Other complications of cardiac and vascular prosthetic devices, implants and grafts"	"T82.8"	12	280480	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"85+ years"	"85+"	"Open wound of head, part unspecified"	"S01.9"	17	93371	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"85+ years"	"85+"	"Traumatic subdural haemorrhage"	"S06.5"	44	93371	47.1
	"Alabama"	"01"	"2022 "	"2022"	"85+ years"	"85+"	"Other intracranial injuries"	"S06.8"	11	93371	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"85+ years"	"85+"	"Unspecified injury of head"	"S09.9"	17	93371	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"85+ years"	"85+"	"Fracture of neck of femur"	"S72.0"	86	93371	92.1
	"Alabama"	"01"	"2022 "	"2022"	"85+ years"	"85+"	"Fracture of femur, part unspecified"	"S72.9"	17	93371	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"85+ years"	"85+"	"Injury, unspecified"	"T14.9"	56	93371	60.0
	"Alabama"	"01"	"2022 "	"2022"	"85+ years"	"85+"	"Foreign body in respiratory tract, part unspecified"	"T17.9"	50	93371	53.5
	"Alaska"	"02"	"2022 "	"2022"	"15-24 years"	"15-24"	"Open wound of head, part unspecified"	"S01.9"	27	97344	27.7
	"Alaska"	"02"	"2022 "	"2022"	"15-24 years"	"15-24"	"Intracranial injury, unspecified"	"S06.9"	10	97344	Unreliable
	"Alaska"	"02"	"2022 "	"2022"	"15-24 years"	"15-24"	"Unspecified injury of head"	"S09.9"	12	97344	Unreliable
	"Alaska"	"02"	"2022 "	"2022"	"15-24 years"	"15-24"	"Unspecified injury of trunk, level unspecified"	"T09.9"	11	97344	Unreliable
	"Alaska"	"02"	"2022 "	"2022"	"15-24 years"	"15-24"	"Open wound of unspecified body region"	"T14.1"	29	97344	29.8
	"Alaska"	"02"	"2022 "	"2022"	"15-24 years"	"15-24"	"Injury, unspecified"	"T14.9"	13	97344	Unreliable
	"Alaska"	"02"	"2022 "	"2022"	"15-24 years"	"15-24"	"Other synthetic narcotics"	"T40.4"	13	97344	Unreliable
	"Alaska"	"02"	"2022 "	"2022"	"15-24 years"	"15-24"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	18	97344	Unreliable
	"Alaska"	"02"	"2022 "	"2022"	"15-24 years"	"15-24"	"Asphyxiation"	"T71"	22	97344	22.6
	"Alaska"	"02"	"2022 "	"2022"	"25-34 years"	"25-34"	"Open wound of head, part unspecified"	"S01.9"	27	113239	23.8
	"Alaska"	"02"	"2022 "	"2022"	"25-34 years"	"25-34"	"Intracranial injury, unspecified"	"S06.9"	13	113239	Unreliable
	"Alaska"	"02"	"2022 "	"2022"	"25-34 years"	"25-34"	"Unspecified injury of head"	"S09.9"	27	113239	23.8
	"Alaska"	"02"	"2022 "	"2022"	"25-34 years"	"25-34"	"Unspecified multiple injuries"	"T07"	13	113239	Unreliable
	"Alaska"	"02"	"2022 "	"2022"	"25-34 years"	"25-34"	"Open wound of trunk, level unspecified"	"T09.1"	13	113239	Unreliable
	"Alaska"	"02"	"2022 "	"2022"	"25-34 years"	"25-34"	"Unspecified injury of trunk, level unspecified"	"T09.9"	16	113239	Unreliable
	"Alaska"	"02"	"2022 "	"2022"	"25-34 years"	"25-34"	"Open wound of unspecified body region"	"T14.1"	34	113239	30.0
	"Alaska"	"02"	"2022 "	"2022"	"25-34 years"	"25-34"	"Injury, unspecified"	"T14.9"	16	113239	Unreliable
	"Alaska"	"02"	"2022 "	"2022"	"25-34 years"	"25-34"	"Heroin"	"T40.1"	15	113239	Unreliable
	"Alaska"	"02"	"2022 "	"2022"	"25-34 years"	"25-34"	"Other opioids"	"T40.2"	10	113239	Unreliable
	"Alaska"	"02"	"2022 "	"2022"	"25-34 years"	"25-34"	"Other synthetic narcotics"	"T40.4"	47	113239	41.5
	"Alaska"	"02"	"2022 "	"2022"	"25-34 years"	"25-34"	"Psychostimulants with abuse potential"	"T43.6"	42	113239	37.1
	"Alaska"	"02"	"2022 "	"2022"	"25-34 years"	"25-34"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	61	113239	53.9
	"Alaska"	"02"	"2022 "	"2022"	"25-34 years"	"25-34"	"Ethanol"	"T51.0"	20	113239	17.7
	"Alaska"	"02"	"2022 "	"2022"	"25-34 years"	"25-34"	"Hypothermia"	"T68"	12	113239	Unreliable
